2023-01-11 13:13:29.8194 DEBUG {"Id":358,"FileName":"ServiceDesk_28122022.bak","ContentType":".bak","FileSize":"5361664","Guid":"777a4978-79f2-4952-91cd-9c512173851f","FolderId":4,"FolderName":null,"DataRoomId":1,"DataRoomName":"test","FileDescription":null,"RelativePath":"C:\\SharBoxWorkingSpace\\EBX\\1\\1\\4\\358","IsArchived":false,"ArchivedOn":null,"IsDeleted":false,"IsActive":true,"CreatedBy":11,"CreatorName":"Ravi","CreatedOn":"2023-01-11T13:13:29.7171855+05:30","ModifiedBy":null,"ModifierName":null,"ModifiedOn":null,"DeletedBy":null,"DeletorName":null,"DeletedOn":null,"IsCheckIn":null,"CheckInBy":null,"CheckInByName":null,"CheckInOn":null,"IsCheckOut":null,"CheckOutBy":null,"CheckOutByName":null,"CheckOutOn":null,"FileVersion":"1.0","CompanyId":1,"CompanyName":"EBX","IsWorkFlowRequired":false,"IsApproved":null,"ApprovedBy":null,"ApproverName":null,"ApprovedOn":null,"WaitingWithName":null,"Status":"Save"}
2023-01-11 13:13:29.8479 DEBUG Exit from Update Method..
2023-01-11 13:13:29.8796 DEBUG Enter into Update Method..
2023-01-11 13:13:29.8796 DEBUG {"Id":1,"DataRoomName":"Perf Management","Description":"Testing","DataRoomSize":"182479728","RelativePath":"C:\\SharBoxWorkingSpace\\EBX/1/1","Guid":"98f6cd8e-6ed1-4a0f-b2d9-cab1e4d90fa5","IsArchivalRequired":true,"IsDeletionRequired":null,"IsLogsRequired":true,"ArchivalPeriod":"15","DeletionPeriod":null,"RetentionPeriod":"15","IsWorkFlowRequired":false,"IsActive":true,"CreatedBy":11,"CreatorName":"Ravi","CreatedOn":"2022-12-26T19:25:53.093","ModifiedBy":11,"ModifierName":"Ravi","ModifiedOn":"2023-01-11T13:13:29.8714567+05:30","DeletedBy":null,"DeletorName":null,"DeletedOn":null,"CompanyId":1,"CompanyName":"EBX","WorkFlowId":0,"WorkFlowName":null,"ArchivalBasedOn":"Created Date","RetentionBasedOn":"Created Date","DeletionBasedOn":null,"ArchivalType":"Local","ArchivalPath":null,"ArchivalAWSAccessKey":null,"ArchivalAWSSecurityKey":null,"ArchivalAWSRegion":null}
2023-01-11 13:13:29.9013 DEBUG Exit from Update Method..
2023-01-11 13:16:57.8774 DEBUG Enter into Update Method..
2023-01-11 13:16:57.8774 DEBUG {"Id":359,"FileName":"Employee Movement Tracker (11).pdf","ContentType":".pdf","FileSize":"6400","Guid":"2fe2a37e-096f-4c40-a259-d45a22e0386f","FolderId":4,"FolderName":null,"DataRoomId":1,"DataRoomName":"tes","FileDescription":null,"RelativePath":"C:\\SharBoxWorkingSpace\\EBX\\1\\1\\4\\359","IsArchived":false,"ArchivedOn":null,"IsDeleted":false,"IsActive":true,"CreatedBy":11,"CreatorName":"Ravi","CreatedOn":"2023-01-11T13:16:57.7957686+05:30","ModifiedBy":null,"ModifierName":null,"ModifiedOn":null,"DeletedBy":null,"DeletorName":null,"DeletedOn":null,"IsCheckIn":null,"CheckInBy":null,"CheckInByName":null,"CheckInOn":null,"IsCheckOut":null,"CheckOutBy":null,"CheckOutByName":null,"CheckOutOn":null,"FileVersion":"1.0","CompanyId":1,"CompanyName":"EBX","IsWorkFlowRequired":false,"IsApproved":null,"ApprovedBy":null,"ApproverName":null,"ApprovedOn":null,"WaitingWithName":null,"Status":"Save"}
2023-01-11 13:16:57.8894 DEBUG Exit from Update Method..
2023-01-11 13:16:57.9119 DEBUG Enter into Update Method..
2023-01-11 13:16:57.9119 DEBUG {"Id":1,"DataRoomName":"Perf Management","Description":"Testing","DataRoomSize":"182486128","RelativePath":"C:\\SharBoxWorkingSpace\\EBX/1/1","Guid":"98f6cd8e-6ed1-4a0f-b2d9-cab1e4d90fa5","IsArchivalRequired":true,"IsDeletionRequired":null,"IsLogsRequired":true,"ArchivalPeriod":"15","DeletionPeriod":null,"RetentionPeriod":"15","IsWorkFlowRequired":false,"IsActive":true,"CreatedBy":11,"CreatorName":"Ravi","CreatedOn":"2022-12-26T19:25:53.093","ModifiedBy":11,"ModifierName":"Ravi","ModifiedOn":"2023-01-11T13:16:57.9045121+05:30","DeletedBy":null,"DeletorName":null,"DeletedOn":null,"CompanyId":1,"CompanyName":"EBX","WorkFlowId":0,"WorkFlowName":null,"ArchivalBasedOn":"Created Date","RetentionBasedOn":"Created Date","DeletionBasedOn":null,"ArchivalType":"Local","ArchivalPath":null,"ArchivalAWSAccessKey":null,"ArchivalAWSSecurityKey":null,"ArchivalAWSRegion":null}
