2022-12-27 00:22:52.5687 DEBUG {"Id":1,"DataRoomName":"Perf Management","Description":"Testing","DataRoomSize":"13968","RelativePath":"C:\\SharBoxWorkingSpace\\EBX/1/1","Guid":"98f6cd8e-6ed1-4a0f-b2d9-cab1e4d90fa5","IsArchivalRequired":true,"IsDeletionRequired":null,"IsLogsRequired":true,"ArchivalPeriod":"15","DeletionPeriod":null,"RetentionPeriod":"15","IsWorkFlowRequired":false,"IsActive":true,"CreatedBy":11,"CreatorName":"Ravi","CreatedOn":"2022-12-26T19:25:53.093","ModifiedBy":11,"ModifierName":"Ravi","ModifiedOn":"2022-12-27T00:22:52.5775607+05:30","DeletedBy":null,"DeletorName":null,"DeletedOn":null,"CompanyId":1,"CompanyName":"EBX","WorkFlowId":0,"WorkFlowName":null,"ArchivalBasedOn":"Created Date","RetentionBasedOn":"Created Date","DeletionBasedOn":null,"ArchivalType":"Local","ArchivalPath":null,"ArchivalAWSAccessKey":null,"ArchivalAWSSecurityKey":null,"ArchivalAWSRegion":null}
2022-12-27 00:22:52.5914 DEBUG Exit from Update Method..
2022-12-27 00:22:53.0811 DEBUG Enter into Update Method..
2022-12-27 00:22:53.0811 DEBUG {"Id":3,"FileName":"Tracker 4 (3).csv","ContentType":".csv","FileSize":"176","Guid":"17175067-9e6f-4c1f-af6e-a831fe8208a5","FolderId":2,"FolderName":null,"DataRoomId":1,"DataRoomName":"test","FileDescription":null,"RelativePath":"C:\\SharBoxWorkingSpace\\EBX\\1\\1\\2\\3","IsArchived":false,"ArchivedOn":null,"IsDeleted":false,"IsActive":true,"CreatedBy":11,"CreatorName":"Ravi","CreatedOn":"2022-12-27T00:22:53.0578444+05:30","ModifiedBy":null,"ModifierName":null,"ModifiedOn":null,"DeletedBy":null,"DeletorName":null,"DeletedOn":null,"IsCheckIn":null,"CheckInBy":null,"CheckInByName":null,"CheckInOn":null,"IsCheckOut":null,"CheckOutBy":null,"CheckOutByName":null,"CheckOutOn":null,"FileVersion":"1.0","CompanyId":1,"CompanyName":"EBX","IsWorkFlowRequired":false,"IsApproved":null,"ApprovedBy":null,"ApproverName":null,"ApprovedOn":null,"WaitingWithName":null,"Status":"Save"}
2022-12-27 00:22:53.0837 DEBUG Exit from Update Method..
2022-12-27 00:22:53.1015 DEBUG Enter into Update Method..
2022-12-27 00:22:53.1015 DEBUG {"Id":1,"DataRoomName":"Perf Management","Description":"Testing","DataRoomSize":"14144","RelativePath":"C:\\SharBoxWorkingSpace\\EBX/1/1","Guid":"98f6cd8e-6ed1-4a0f-b2d9-cab1e4d90fa5","IsArchivalRequired":true,"IsDeletionRequired":null,"IsLogsRequired":true,"ArchivalPeriod":"15","DeletionPeriod":null,"RetentionPeriod":"15","IsWorkFlowRequired":false,"IsActive":true,"CreatedBy":11,"CreatorName":"Ravi","CreatedOn":"2022-12-26T19:25:53.093","ModifiedBy":11,"ModifierName":"Ravi","ModifiedOn":"2022-12-27T00:22:53.0933914+05:30","DeletedBy":null,"DeletorName":null,"DeletedOn":null,"CompanyId":1,"CompanyName":"EBX","WorkFlowId":0,"WorkFlowName":null,"ArchivalBasedOn":"Created Date","RetentionBasedOn":"Created Date","DeletionBasedOn":null,"ArchivalType":"Local","ArchivalPath":null,"ArchivalAWSAccessKey":null,"ArchivalAWSSecurityKey":null,"ArchivalAWSRegion":null}
2022-12-27 00:22:53.1015 DEBUG Exit from Update Method..
2022-12-27 00:22:53.6009 DEBUG Enter into Update Method..
2022-12-27 00:22:53.6009 DEBUG {"Id":4,"FileName":"Tracker 4.pdf","ContentType":".pdf","FileSize":"5952","Guid":"577d9a9f-64fa-4799-9bda-b3798878754f","FolderId":2,"FolderName":null,"DataRoomId":1,"DataRoomName":"test","FileDescription":null,"RelativePath":"C:\\SharBoxWorkingSpace\\EBX\\1\\1\\2\\4","IsArchived":false,"ArchivedOn":null,"IsDeleted":false,"IsActive":true,"CreatedBy":11,"CreatorName":"Ravi","CreatedOn":"2022-12-27T00:22:53.5745112+05:30","ModifiedBy":null,"ModifierName":null,"ModifiedOn":null,"DeletedBy":null,"DeletorName":null,"DeletedOn":null,"IsCheckIn":null,"CheckInBy":null,"CheckInByName":null,"CheckInOn":null,"IsCheckOut":null,"CheckOutBy":null,"CheckOutByName":null,"CheckOutOn":null,"FileVersion":"1.0","CompanyId":1,"CompanyName":"EBX","IsWorkFlowRequired":false,"IsApproved":null,"ApprovedBy":null,"ApproverName":null,"ApprovedOn":null,"WaitingWithName":null,"Status":"Save"}
